date,train_id,stop_sequence,from,from_id,to,to_id,scheduled_time,actual_time,delay_minutes,status,line,type,year,month
2018-04-16,3725,1.0,New York Penn Station,105.0,New York Penn Station,105.0,2018-04-16 17:08:00,2018-04-16 17:12:11,4.18333333333,departed,Northeast Corrdr,NJ Transit,2018,4
2019-05-30,3281,6.0,North Elizabeth,109.0,Elizabeth,41.0,2019-05-30 19:52:00,2019-05-30 19:52:06,0.1,departed,No Jersey Coast,NJ Transit,2019,5
2019-01-20,1859,8.0,Broadway Fair Lawn,25.0,Radburn Fair Lawn,126.0,2019-01-20 08:54:00,2019-01-20 08:55:11,1.18333333333,departed,Bergen Co. Line ,NJ Transit,2019,1
2019-02-27,3861,15.0,Hamilton,32905.0,Trenton,148.0,2019-02-27 18:03:00,2019-02-27 17:56:00,0.0,estimated,Northeast Corrdr,NJ Transit,2019,2
2018-10-26,3222,1.0,Long Branch,74.0,Long Branch,74.0,2018-10-26 06:35:00,2018-10-26 06:34:09,0.0,departed,No Jersey Coast,NJ Transit,2018,10
2018-09-07,1271,1.0,Hoboken,63.0,Hoboken,63.0,2018-09-07 18:02:00,2018-09-07 18:00:03,0.0,cancelled,Bergen Co. Line ,NJ Transit,2018,9
2018-10-10,3881,6.0,North Elizabeth,109.0,Elizabeth,41.0,2018-10-10 20:14:00,2018-10-10 20:53:06,39.1,departed,Northeast Corrdr,NJ Transit,2018,10
2018-10-12,0429,8.0,Murray Hill,99.0,Berkeley Heights,17.0,2018-10-12 17:51:00,2018-10-12 17:55:13,4.21666666667,departed,Gladstone Branch,NJ Transit,2018,10
2019-01-22,0411,6.0,Orange,112.0,Highland Avenue,61.0,2019-01-22 09:24:00,2019-01-22 09:26:11,2.18333333333,departed,Gladstone Branch,NJ Transit,2019,1
2019-12-30,0435,3.0,Millburn,87.0,Short Hills,136.0,2019-12-30 18:34:00,2019-12-30 18:35:26,1.4333333333333331,departed,Gladstone Branch,NJ Transit,2019,12
2018-03-28,6639,13.0,Convent Station,30.0,Morristown,92.0,2018-03-28 16:26:00,2018-03-28 16:33:12,7.2,departed,Morristown Line,NJ Transit,2018,3
2018-04-25,0433,5.0,Summit,145.0,New Providence,104.0,2018-04-25 18:19:00,2018-04-25 18:18:08,0.0,departed,Gladstone Branch,NJ Transit,2018,4
2018-09-19,1636,8.0,Hillsdale,62.0,Westwood,156.0,2018-09-20 00:31:00,2018-09-20 00:33:09,2.15,departed,Pascack Valley,NJ Transit,2018,9
2019-03-22,0063,9.0,Salisbury Mills-Cornwall,135.0,Campbell Hall,26.0,2019-03-22 20:29:00,2019-03-22 20:44:08,15.1333333333,departed,Bergen Co. Line ,NJ Transit,2019,3
2019-12-02,3297,2.0,New York Penn Station,105.0,Secaucus Upper Lvl,38187.0,2019-12-02 23:28:00,2019-12-02 23:28:53,0.8833333333333333,departed,No Jersey Coast,NJ Transit,2019,12
2020-02-24,0421,22.0,Bernardsville,18.0,Far Hills,45.0,2020-02-24 15:03:00,2020-02-24 15:10:48,7.800000000000001,departed,Gladstone Branch,NJ Transit,2020,2
2019-01-18,3266,12.0,Linden,70.0,Elizabeth,41.0,2019-01-18 17:53:00,2019-01-18 18:00:22,7.36666666667,departed,No Jersey Coast,NJ Transit,2019,1
2018-05-08,3893,5.0,Newark Airport,37953.0,Rahway,127.0,2018-05-08 23:12:00,2018-05-08 23:13:27,1.45,departed,Northeast Corrdr,NJ Transit,2018,5
2018-04-23,3235,1.0,New York Penn Station,105.0,New York Penn Station,105.0,2018-04-23 10:41:00,2018-04-23 11:05:17,24.2833333333,departed,No Jersey Coast,NJ Transit,2018,4
2019-11-11,6611,10.0,Short Hills,136.0,Summit,145.0,2019-11-11 08:37:00,2019-11-11 08:44:02,7.033333333333333,departed,Morristown Line,NJ Transit,2019,11
2020-03-02,3508,2.0,South Amboy,139.0,Perth Amboy,119.0,2020-03-02 09:19:00,2020-03-02 09:21:11,2.183333333333333,departed,No Jersey Coast,NJ Transit,2020,3
2018-05-26,4688,3.0,Absecon,2.0,Egg Harbor City,39.0,2018-05-26 20:04:00,2018-05-26 20:07:02,3.03333333333,departed,Atl. City Line,NJ Transit,2018,5
2019-08-07,1215,1.0,Hoboken,63.0,Hoboken,63.0,2019-08-07 15:36:00,2019-08-07 15:38:18,2.3,departed,Main Line,NJ Transit,2019,8
2018-12-07,0411,2.0,Hoboken,63.0,Newark Broad Street,106.0,2018-12-07 09:12:00,2018-12-07 09:18:52,6.86666666667,departed,Gladstone Branch,NJ Transit,2018,12
2019-01-01,3805,10.0,Metropark,83.0,Metuchen,84.0,2019-01-02 02:13:00,2019-01-02 02:22:06,9.1,departed,Northeast Corrdr,NJ Transit,2019,1
2018-05-31,3283,3.0,Secaucus Upper Lvl,38187.0,Newark Penn Station,107.0,2018-05-31 20:41:00,2018-05-31 20:43:15,2.25,departed,No Jersey Coast,NJ Transit,2018,5
2020-02-02,7229,5.0,Newark Airport,37953.0,Elizabeth,41.0,2020-02-02 09:35:00,2020-02-02 09:40:16,5.266666666666667,departed,No Jersey Coast,NJ Transit,2020,2
2018-07-04,7252,7.0,Hazlet,59.0,Aberdeen-Matawan,37169.0,2018-07-04 17:30:00,2018-07-04 17:39:04,9.06666666667,departed,No Jersey Coast,NJ Transit,2018,7
2019-05-13,0426,14.0,Summit,145.0,Short Hills,136.0,2019-05-13 14:48:00,2019-05-13 14:58:05,10.083333333333334,departed,Gladstone Branch,NJ Transit,2019,5
2019-11-07,6627,15.0,Morristown,92.0,Morris Plains,91.0,2019-11-07 13:56:00,2019-11-07 14:07:08,11.133333333333333,departed,Morristown Line,NJ Transit,2019,11
2018-03-16,1212,8.0,Clifton,29.0,Passaic,115.0,2018-03-16 09:24:00,2018-03-16 09:26:13,2.21666666667,departed,Main Line,NJ Transit,2018,3
2019-02-21,1633,11.0,Emerson,42.0,Westwood,156.0,2019-02-21 18:49:00,2019-02-21 18:53:13,4.21666666667,departed,Pascack Valley,NJ Transit,2019,2
2018-10-10,5412,8.0,Garwood,47.0,Roselle Park,31.0,2018-10-10 07:09:00,2018-10-10 07:10:07,1.11666666667,departed,Raritan Valley,NJ Transit,2018,10
2019-08-15,6671,8.0,Maplewood,81.0,Millburn,87.0,2019-08-15 21:32:00,2019-08-15 21:40:43,8.716666666666667,departed,Morristown Line,NJ Transit,2019,8
2018-08-30,1147,4.0,Rutherford,134.0,Wesmont,43599.0,2018-08-30 08:21:00,2018-08-30 08:26:11,5.18333333333,departed,Bergen Co. Line ,NJ Transit,2018,8
2018-05-23,0426,23.0,East Orange,37.0,Newark Broad Street,106.0,2018-05-23 15:12:00,2018-05-23 15:19:23,7.38333333333,departed,Gladstone Branch,NJ Transit,2018,5
2019-04-24,5743,5.0,Dunellen,36.0,Bound Brook,21.0,2019-04-24 19:00:00,2019-04-24 19:02:04,2.06666666667,departed,Raritan Valley,NJ Transit,2019,4
2018-03-16,1633,12.0,Westwood,156.0,Hillsdale,62.0,2018-03-16 18:52:00,2018-03-16 18:50:24,0.0,departed,Pascack Valley,NJ Transit,2018,3
2018-07-21,5538,5.0,Bound Brook,21.0,Dunellen,36.0,2018-07-21 22:32:00,2018-07-21 22:37:07,5.11666666667,departed,Raritan Valley,NJ Transit,2018,7
2019-10-29,0882,22.0,Orange,112.0,Brick Church,23.0,2019-10-29 20:40:00,2019-10-29 20:58:23,18.383333333333333,departed,Morristown Line,NJ Transit,2019,10
2018-11-07,0442,7.0,Lyons,76.0,Millington,88.0,2018-11-08 00:15:00,2018-11-08 00:18:03,3.05,departed,Gladstone Branch,NJ Transit,2018,11
2018-07-30,2606,1.0,Long Branch,74.0,Long Branch,74.0,2018-07-30 06:49:00,2018-07-30 06:48:11,0.0,departed,No Jersey Coast,NJ Transit,2018,7
2018-09-30,6941,16.0,Convent Station,30.0,Morristown,92.0,2018-09-30 22:28:00,2018-09-30 22:28:07,0.116666666667,departed,Morristown Line,NJ Transit,2018,9
2019-02-20,1167,4.0,Radburn Fair Lawn,126.0,Glen Rock Boro Hall,51.0,2019-02-20 17:52:00,2019-02-20 18:02:14,10.2333333333,departed,Bergen Co. Line ,NJ Transit,2019,2
2019-06-23,4661,7.0,Hammonton,55.0,Egg Harbor City,39.0,2019-06-23 06:47:00,2019-06-23 08:11:09,84.15,departed,Atl. City Line,NJ Transit,2019,6
2020-01-26,2119,6.0,Anderson Street,5.0,New Bridge Landing,110.0,2020-01-26 16:48:00,2020-01-26 16:49:01,1.0166666666666668,departed,Pascack Valley,NJ Transit,2020,1
2019-07-27,0523,3.0,Newark Broad Street,106.0,Watsessing Avenue,154.0,2019-07-27 12:38:00,2019-07-27 12:41:06,3.1,departed,Montclair-Boonton,NJ Transit,2019,7
2018-04-21,6935,8.0,Mountain Station,97.0,South Orange,140.0,2018-04-21 18:48:00,2018-04-21 18:50:06,2.1,departed,Morristown Line,NJ Transit,2018,4
2019-03-26,1160,7.0,Waldwick,151.0,Ho-Ho-Kus,64.0,2019-03-26 08:54:00,2019-03-26 08:56:14,2.23333333333,departed,Bergen Co. Line ,NJ Transit,2019,3
2018-04-16,5749,14.0,Raritan,129.0,North Branch,108.0,2018-04-16 20:36:00,2018-04-16 21:05:13,29.2166666667,departed,Raritan Valley,NJ Transit,2018,4
2018-05-15,5439,14.0,Somerville,138.0,Raritan,129.0,2018-05-15 18:45:00,2018-05-15 18:51:00,6.0,estimated,Raritan Valley,NJ Transit,2018,5
